SampleID	PyClonePhyloCluster	PhyloCCF
CRUK0062	11	R1:0;R2:0;R3:1.04;R4:1.03;R5:1.38;R6:0;R7:0
CRUK0062	26	R1:1.4;R2:0.43;R3:1.03;R4:0.84;R5:1.08;R6:0.75;R7:0.01
CRUK0062	3	R1:0;R2:0;R3:1.01;R4:0;R5:0;R6:0;R7:0
CRUK0062	NA	NA
CRUK0062	14	R1:0.04;R2:0.97;R3:0.94;R4:0.97;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.97;R2:1.09;R3:0.97;R4:1.11;R5:1.45;R6:1.31;R7:0.91
CRUK0062	4	R1:0.99;R2:0.97;R3:0.96;R4:0.96;R5:0.82;R6:0.97;R7:1.05
CRUK0062	4	R1:0.97;R2:1.02;R3:1.15;R4:0.9;R5:0.75;R6:1.12;R7:0.99
CRUK0062	28	R1:1.07;R2:1.09;R3:0.94;R4:1.02;R5:0.96;R6:1.16;R7:0.97
CRUK0062	3	R1:0;R2:0;R3:0.95;R4:0;R5:0;R6:0.07;R7:0
CRUK0062	3	R1:0;R2:0;R3:0.93;R4:0;R5:0;R6:0;R7:0
CRUK0062	19	R1:0.02;R2:0.02;R3:0.94;R4:1;R5:1.5;R6:0.96;R7:0.03
CRUK0062	11	R1:0.21;R2:0.01;R3:0.95;R4:0.94;R5:0.91;R6:0.11;R7:0
CRUK0062	20	R1:1.36;R2:0;R3:0.92;R4:1.06;R5:1.16;R6:0.28;R7:0.04
CRUK0062	4	R1:1.33;R2:0.92;R3:0.95;R4:0.84;R5:1;R6:1.01;R7:1
CRUK0062	4	R1:1.08;R2:1.06;R3:0.96;R4:0.95;R5:1.05;R6:1.05;R7:1
CRUK0062	3	R1:0;R2:0;R3:1.01;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.92;R2:1.05;R3:1.54;R4:1.08;R5:0.84;R6:1.22;R7:1.43
CRUK0062	3	R1:0;R2:0;R3:0.97;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.19;R2:1.24;R3:0.93;R4:1;R5:0.87;R6:1.09;R7:1.14
CRUK0062	3	R1:0;R2:0;R3:0.97;R4:0;R5:0;R6:0;R7:0
CRUK0062	3	R1:0;R2:0;R3:0.93;R4:0;R5:0;R6:0;R7:0.39
CRUK0062	11	R1:0;R2:0;R3:0.89;R4:1.13;R5:0.77;R6:0;R7:0
CRUK0062	10	R1:0.97;R2:0.96;R3:0.33;R4:0.02;R5:0;R6:1.08;R7:0.94
CRUK0062	4	R1:0.94;R2:0.96;R3:1;R4:0.94;R5:0.86;R6:1.04;R7:1.01
CRUK0062	3	R1:0;R2:0;R3:0.88;R4:0;R5:0;R6:0;R7:0
CRUK0062	8	R1:0;R2:0.03;R3:0.05;R4:1.02;R5:0;R6:0;R7:0.01
CRUK0062	4	R1:0.98;R2:0.95;R3:1;R4:0.95;R5:0.87;R6:0.91;R7:0.94
CRUK0062	4	R1:1.06;R2:0.99;R3:1.09;R4:0.95;R5:1;R6:1;R7:0.94
CRUK0062	10	R1:0.86;R2:1.06;R3:0.18;R4:0.01;R5:0.09;R6:1.05;R7:0.86
CRUK0062	30	R1:1.01;R2:1.11;R3:1.34;R4:0.02;R5:1.85;R6:1.15;R7:1
CRUK0062	4	R1:0.89;R2:1.06;R3:1.01;R4:1.01;R5:1.11;R6:1.01;R7:0.97
CRUK0062	19	R1:0;R2:0.35;R3:1.02;R4:0.96;R5:1;R6:1.14;R7:0
CRUK0062	4	R1:0.85;R2:1.03;R3:1.09;R4:0.9;R5:0.97;R6:1.15;R7:0.96
CRUK0062	8	R1:0;R2:0;R3:0.01;R4:0.97;R5:0;R6:0.02;R7:0.01
CRUK0062	35	R1:0.86;R2:0.05;R3:0.87;R4:0.93;R5:0.97;R6:0.03;R7:0.27
CRUK0062	10	R1:1.06;R2:1.05;R3:0.11;R4:0.03;R5:0.3;R6:1.02;R7:1.04
CRUK0062	4	R1:1.56;R2:1.8;R3:1.19;R4:1.62;R5:1.62;R6:1.71;R7:1.48
CRUK0062	4	R1:0.98;R2:1.21;R3:1.04;R4:1.2;R5:1.24;R6:1.23;R7:1.33
CRUK0062	32	R1:1.15;R2:0.99;R3:1.22;R4:0.21;R5:0;R6:1;R7:0.96
CRUK0062	4	R1:1;R2:1.05;R3:1.23;R4:1.07;R5:1.04;R6:1.14;R7:1.03
CRUK0062	29	R1:1;R2:1.03;R3:0.1;R4:0;R5:0;R6:0.95;R7:0.79
CRUK0062	4	R1:0.96;R2:0.92;R3:1.01;R4:0.82;R5:0.76;R6:1.03;R7:1.32
CRUK0062	4	R1:1.09;R2:0.99;R3:0.93;R4:0.85;R5:0.99;R6:0.92;R7:1.15
CRUK0062	10	R1:1.45;R2:1.01;R3:0.23;R4:0.05;R5:0.08;R6:0.87;R7:1.01
CRUK0062	4	R1:1.07;R2:0.99;R3:0.93;R4:1.03;R5:0.92;R6:1;R7:0.95
CRUK0062	8	R1:0;R2:0;R3:0;R4:0.91;R5:0;R6:0;R7:0.07
CRUK0062	4	R1:1.03;R2:1.03;R3:1.01;R4:1.07;R5:1.03;R6:1.17;R7:1
CRUK0062	34	R1:1.09;R2:1.15;R3:0.14;R4:1.47;R5:0.41;R6:1.12;R7:1.01
CRUK0062	4	R1:0.94;R2:1.16;R3:0.97;R4:1.01;R5:1.15;R6:1;R7:1.05
CRUK0062	35	R1:0.51;R2:1;R3:1.47;R4:0.97;R5:0.94;R6:0;R7:0.53
CRUK0062	29	R1:1;R2:1.01;R3:0.27;R4:0.01;R5:0.1;R6:1.16;R7:0.99
CRUK0062	4	R1:0.95;R2:0.99;R3:1.04;R4:0.93;R5:1.04;R6:0.98;R7:0.95
CRUK0062	4	R1:1.77;R2:1.45;R3:1.3;R4:1.31;R5:1.01;R6:2.13;R7:1.19
CRUK0062	4	R1:1.01;R2:1.17;R3:0.97;R4:1.04;R5:0.97;R6:1.15;R7:0.91
CRUK0062	29	R1:0.97;R2:0.98;R3:0.1;R4:0.02;R5:0;R6:0.98;R7:0.87
CRUK0062	37	R1:0;R2:1.79;R3:1.04;R4:1.11;R5:1.04;R6:1;R7:0
CRUK0062	4	R1:0.95;R2:1.01;R3:1.03;R4:1.01;R5:0.99;R6:1.14;R7:1.54
CRUK0062	NA	NA
CRUK0062	10	R1:0.99;R2:1.06;R3:0.1;R4:1.02;R5:0;R6:1.03;R7:0.9
CRUK0062	4	R1:1.17;R2:1.06;R3:0.78;R4:1;R5:0.98;R6:1.01;R7:1.08
CRUK0062	30	R1:0.8;R2:0.96;R3:1.03;R4:0.01;R5:1.45;R6:1.02;R7:1.1
CRUK0062	4	R1:1.01;R2:1.09;R3:1.06;R4:1.12;R5:0.89;R6:1.09;R7:0.95
CRUK0062	28	R1:0.87;R2:1.03;R3:0.99;R4:0.18;R5:1.06;R6:1.74;R7:0.88
CRUK0062	NA	NA
CRUK0062	14	R1:0;R2:0;R3:1.04;R4:1.06;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.16;R2:1.09;R3:0.96;R4:1.1;R5:0.97;R6:1.12;R7:1.23
CRUK0062	3	R1:0;R2:0;R3:1.2;R4:0;R5:0;R6:0;R7:0
CRUK0062	31	R1:0.98;R2:0.93;R3:0.24;R4:0;R5:1.41;R6:0.99;R7:1
CRUK0062	4	R1:0.71;R2:0.53;R3:1.06;R4:1;R5:0.93;R6:0.72;R7:1.11
CRUK0062	32	R1:1.06;R2:0.92;R3:1.4;R4:0.02;R5:0.12;R6:0.95;R7:0.96
CRUK0062	40	R1:1.08;R2:0.99;R3:0.19;R4:0.4;R5:1.77;R6:0.91;R7:0.98
CRUK0062	3	R1:0;R2:0;R3:1.21;R4:0;R5:0;R6:0;R7:0
CRUK0062	14	R1:0;R2:0;R3:0.85;R4:0.97;R5:0;R6:0;R7:0.11
CRUK0062	4	R1:1.19;R2:0.96;R3:1.04;R4:1.13;R5:0.96;R6:1.69;R7:1.09
CRUK0062	4	R1:1.11;R2:1.04;R3:1.55;R4:1.03;R5:1.1;R6:1.02;R7:1.09
CRUK0062	3	R1:0.74;R2:0;R3:0.94;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:1;R2:1;R3:1;R4:0.97;R5:0.82;R6:1.03;R7:1
CRUK0062	34	R1:0.98;R2:1;R3:0.19;R4:1.12;R5:0.38;R6:0.85;R7:1.03
CRUK0062	4	R1:1.07;R2:1.17;R3:1.2;R4:0.98;R5:1.01;R6:1.25;R7:1.09
CRUK0062	10	R1:0.97;R2:1;R3:0.2;R4:0;R5:0.19;R6:0.96;R7:0.96
CRUK0062	8	R1:0;R2:0;R3:0;R4:1.03;R5:0;R6:0;R7:0.02
CRUK0062	NA	NA
CRUK0062	8	R1:0;R2:0;R3:0;R4:0.99;R5:0;R6:0;R7:0
CRUK0062	24	R1:0.92;R2:0.84;R3:0.84;R4:0;R5:0.87;R6:1.24;R7:0.78
CRUK0062	27	R1:0;R2:0;R3:0.94;R4:0.97;R5:0.98;R6:0;R7:0
CRUK0062	11	R1:0;R2:0.07;R3:0.99;R4:1.04;R5:0.91;R6:0;R7:0.15
CRUK0062	8	R1:0;R2:0.02;R3:0;R4:0.92;R5:0.03;R6:0;R7:0
CRUK0062	4	R1:1.12;R2:1.08;R3:1;R4:0.87;R5:0.97;R6:1.23;R7:1.44
CRUK0062	19	R1:0;R2:0.02;R3:0.92;R4:1;R5:0.97;R6:0.79;R7:0
CRUK0062	NA	NA
CRUK0062	3	R1:0;R2:0;R3:1.12;R4:0;R5:0;R6:0;R7:0
CRUK0062	3	R1:0;R2:0.01;R3:0.91;R4:0;R5:0;R6:0.35;R7:0.14
CRUK0062	19	R1:0;R2:0.04;R3:1.1;R4:0.97;R5:0.97;R6:0.55;R7:0
CRUK0062	4	R1:0.76;R2:0.83;R3:1.11;R4:0.77;R5:1.22;R6:0.87;R7:0.54
CRUK0062	10	R1:0.84;R2:1.18;R3:0.16;R4:0.02;R5:0;R6:1.02;R7:0.95
CRUK0062	3	R1:0;R2:0;R3:1.21;R4:0;R5:0;R6:0;R7:0
CRUK0062	28	R1:0.97;R2:0.96;R3:1.52;R4:0.38;R5:1.17;R6:0.95;R7:1.05
CRUK0062	22	R1:1.02;R2:0.23;R3:1.09;R4:1;R5:0.26;R6:0;R7:0
CRUK0062	NA	NA
CRUK0062	38	R1:0.57;R2:0.02;R3:0.92;R4:1.06;R5:1.05;R6:1.22;R7:0.26
CRUK0062	4	R1:1;R2:1.09;R3:1.09;R4:1.04;R5:0.93;R6:0.91;R7:1.01
CRUK0062	14	R1:0;R2:0;R3:1.08;R4:1.01;R5:0;R6:0;R7:0
CRUK0062	26	R1:1.18;R2:0.78;R3:1.07;R4:0.83;R5:0.96;R6:1.02;R7:0
CRUK0062	NA	NA
CRUK0062	3	R1:0;R2:0;R3:1.11;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.51;R2:1.66;R3:1.08;R4:0.82;R5:1.5;R6:0.89;R7:0.89
CRUK0062	3	R1:0;R2:0;R3:1.06;R4:0;R5:0;R6:0;R7:0
CRUK0062	28	R1:0.83;R2:0.93;R3:0.85;R4:0.47;R5:1.1;R6:1.3;R7:1
CRUK0062	4	R1:1.05;R2:0.96;R3:1.09;R4:0.85;R5:0.96;R6:0.92;R7:0.94
CRUK0062	4	R1:0.89;R2:0.99;R3:1.09;R4:0.94;R5:1.23;R6:0.81;R7:1.15
CRUK0062	3	R1:0;R2:0.68;R3:1.06;R4:0;R5:0;R6:0;R7:0
CRUK0062	10	R1:0.92;R2:0.95;R3:0.24;R4:0.08;R5:0;R6:0.44;R7:1
CRUK0062	29	R1:1.49;R2:0.49;R3:0.06;R4:0;R5:0;R6:0.95;R7:1.21
CRUK0062	30	R1:0.99;R2:1.13;R3:1.39;R4:0;R5:0.51;R6:0.89;R7:1.55
CRUK0062	4	R1:1.05;R2:0.98;R3:1.08;R4:0.79;R5:1.08;R6:0.84;R7:1.7
CRUK0062	4	R1:1.04;R2:1.15;R3:1.05;R4:1.06;R5:0.84;R6:1.34;R7:0.93
CRUK0062	4	R1:1.01;R2:0.96;R3:1.04;R4:0.96;R5:1.11;R6:1.31;R7:0.61
CRUK0062	4	R1:1.02;R2:0.96;R3:1.07;R4:0.86;R5:1.04;R6:1.59;R7:0.97
CRUK0062	11	R1:0.02;R2:0.04;R3:1.04;R4:0.95;R5:0.91;R6:0.09;R7:0
CRUK0062	20	R1:0.24;R2:0.07;R3:1.04;R4:1.03;R5:0.95;R6:1.1;R7:0
CRUK0062	3	R1:0;R2:0.01;R3:1.05;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.95;R2:1.15;R3:1.03;R4:1.07;R5:0.94;R6:1.1;R7:0.99
CRUK0062	26	R1:0.97;R2:0.62;R3:1.06;R4:1.03;R5:0.77;R6:1.17;R7:0
CRUK0062	11	R1:0.4;R2:0.06;R3:1.03;R4:0.99;R5:0.86;R6:0;R7:0
CRUK0062	3	R1:0;R2:0;R3:1.01;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.78;R2:0.77;R3:0.9;R4:0.93;R5:0.83;R6:0.92;R7:0.8
CRUK0062	NA	NA
CRUK0062	11	R1:0;R2:0.43;R3:1.01;R4:1.03;R5:0.97;R6:0;R7:0
CRUK0062	11	R1:0.36;R2:0;R3:1.02;R4:0.92;R5:0.88;R6:0;R7:0
CRUK0062	30	R1:0.91;R2:0.88;R3:1.02;R4:0;R5:0.94;R6:0.85;R7:0.81
CRUK0062	27	R1:0.66;R2:0;R3:1.02;R4:0.93;R5:1.02;R6:0;R7:0.2
CRUK0062	NA	NA
CRUK0062	4	R1:0.86;R2:1.01;R3:1;R4:0.96;R5:0.95;R6:1.01;R7:0.51
CRUK0062	20	R1:0.47;R2:0.01;R3:1.01;R4:0.81;R5:0.98;R6:0.99;R7:0
CRUK0062	22	R1:0.52;R2:0.02;R3:1;R4:0.95;R5:1.04;R6:0.11;R7:0.41
CRUK0062	3	R1:0;R2:0;R3:1.03;R4:0;R5:0;R6:0;R7:0
CRUK0062	19	R1:0.02;R2:0.17;R3:0.9;R4:1.02;R5:0.93;R6:0.94;R7:0.01
CRUK0062	23	R1:1.06;R2:1;R3:0.18;R4:0.19;R5:0.5;R6:0.93;R7:0.92
CRUK0062	10	R1:0.98;R2:1.09;R3:0.1;R4:0;R5:0;R6:1;R7:0.91
CRUK0062	3	R1:0;R2:0;R3:0.86;R4:0;R5:0.74;R6:0;R7:0
CRUK0062	26	R1:0.91;R2:0.39;R3:1.05;R4:0.9;R5:0.94;R6:0.98;R7:0.09
CRUK0062	NA	NA
CRUK0062	27	R1:0.88;R2:0;R3:0.99;R4:0.98;R5:0.96;R6:0;R7:0
CRUK0062	26	R1:1.35;R2:1;R3:1.02;R4:0.9;R5:0.96;R6:0.75;R7:0.02
CRUK0062	NA	NA
CRUK0062	21	R1:0;R2:0;R3:1.01;R4:0;R5:1.24;R6:0;R7:0
CRUK0062	37	R1:0;R2:0.64;R3:0.77;R4:0.9;R5:1.12;R6:0.82;R7:0
CRUK0062	11	R1:0;R2:0;R3:0.99;R4:0.99;R5:0.19;R6:0;R7:0
CRUK0062	3	R1:0;R2:0;R3:0.99;R4:0;R5:0;R6:0;R7:0
CRUK0062	26	R1:1.01;R2:0.92;R3:0.99;R4:0.91;R5:0.69;R6:0.85;R7:0
CRUK0062	4	R1:1.03;R2:1.01;R3:0.96;R4:1.15;R5:1.33;R6:1.43;R7:0.85
CRUK0062	4	R1:1.14;R2:1.05;R3:0.99;R4:1.01;R5:0.94;R6:1.1;R7:1.03
CRUK0062	30	R1:0.94;R2:1.06;R3:0.96;R4:0.01;R5:1.09;R6:1.16;R7:1.2
CRUK0062	3	R1:0;R2:0;R3:0.99;R4:0;R5:0;R6:0;R7:0
CRUK0062	8	R1:0;R2:0;R3:0;R4:0.86;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.92;R2:0.94;R3:0.96;R4:0.95;R5:1;R6:1.26;R7:0.54
CRUK0062	23	R1:0.95;R2:0.97;R3:0.18;R4:0.02;R5:1.6;R6:0.95;R7:0.97
CRUK0062	3	R1:0;R2:0;R3:1.08;R4:0;R5:0;R6:0;R7:0
CRUK0062	NA	NA
CRUK0062	11	R1:0.53;R2:0;R3:0.97;R4:0.87;R5:0.94;R6:0;R7:0
CRUK0062	11	R1:1.23;R2:0.06;R3:1;R4:0.97;R5:1.23;R6:0;R7:0
CRUK0062	3	R1:0.02;R2:0;R3:0.95;R4:0;R5:0;R6:0;R7:0.1
CRUK0062	22	R1:1.07;R2:0.37;R3:0.95;R4:0.89;R5:1.18;R6:0;R7:0.13
CRUK0062	10	R1:1.04;R2:1.18;R3:0.24;R4:0;R5:0.07;R6:0.76;R7:0.97
CRUK0062	4	R1:1;R2:1.05;R3:0.95;R4:0.96;R5:1.16;R6:0.97;R7:0.54
CRUK0062	3	R1:0;R2:0;R3:0.95;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:1.16;R2:1.08;R3:0.95;R4:0.72;R5:0.95;R6:0.97;R7:1.02
CRUK0062	28	R1:1.02;R2:1.03;R3:0.9;R4:1.45;R5:1;R6:0.92;R7:1.01
CRUK0062	4	R1:0.9;R2:1.02;R3:0.95;R4:1.01;R5:1.08;R6:1.01;R7:1.03
CRUK0062	11	R1:0.05;R2:0.88;R3:0.95;R4:0.92;R5:1.25;R6:0;R7:0.01
CRUK0062	10	R1:1.11;R2:1.12;R3:0.15;R4:0.01;R5:0.32;R6:1.04;R7:0.99
CRUK0062	4	R1:0.94;R2:0.94;R3:0.98;R4:0.84;R5:1.12;R6:0.98;R7:0.88
CRUK0062	10	R1:1.26;R2:1.02;R3:0.14;R4:0;R5:0;R6:0.91;R7:1.02
CRUK0062	4	R1:0.95;R2:0.98;R3:0.97;R4:0.96;R5:0.92;R6:1.29;R7:1
CRUK0062	10	R1:0.98;R2:1.23;R3:0.09;R4:0;R5:0.05;R6:0.97;R7:1.13
CRUK0062	4	R1:0.91;R2:1.02;R3:1.24;R4:0.84;R5:0.93;R6:0.97;R7:1.62
CRUK0062	4	R1:1.15;R2:1.03;R3:0.75;R4:0.77;R5:0.95;R6:1.03;R7:1.2
CRUK0062	8	R1:0;R2:0;R3:0;R4:0.86;R5:0;R6:0.45;R7:0
CRUK0062	4	R1:1.05;R2:0.89;R3:0.94;R4:0.94;R5:1.44;R6:1.01;R7:1.04
CRUK0062	14	R1:0.07;R2:0;R3:0.94;R4:0.9;R5:0;R6:0;R7:0
CRUK0062	17	R1:0.97;R2:1;R3:0;R4:0;R5:0;R6:0.34;R7:0
CRUK0062	14	R1:0.19;R2:0.05;R3:0.96;R4:0.82;R5:0;R6:0;R7:0
CRUK0062	38	R1:0.23;R2:0;R3:0.98;R4:1.1;R5:1.11;R6:0.99;R7:0
CRUK0062	10	R1:1.14;R2:0.99;R3:0.34;R4:0;R5:0.11;R6:1.06;R7:1.51
CRUK0062	3	R1:0;R2:0;R3:0.96;R4:0;R5:0;R6:0;R7:0
CRUK0062	35	R1:0.5;R2:0.18;R3:0.94;R4:0.95;R5:0.9;R6:0.06;R7:0.1
CRUK0062	19	R1:0;R2:0.03;R3:0.93;R4:0.91;R5:0.9;R6:0.93;R7:0.01
CRUK0062	10	R1:0.95;R2:1.03;R3:0.12;R4:0;R5:0;R6:0.88;R7:0.93
CRUK0062	4	R1:1.04;R2:0.99;R3:0.95;R4:1.01;R5:0.86;R6:1.21;R7:0.9
CRUK0062	19	R1:0.05;R2:0.57;R3:0.92;R4:1.01;R5:1.19;R6:0.78;R7:0.35
CRUK0062	23	R1:1.01;R2:0.94;R3:0.17;R4:0.04;R5:1.28;R6:0.91;R7:0.91
CRUK0062	4	R1:1.18;R2:0.93;R3:0.94;R4:1.18;R5:1.05;R6:1;R7:1.36
CRUK0062	21	R1:0;R2:0;R3:0.95;R4:0;R5:1.06;R6:0.3;R7:0
CRUK0062	4	R1:0.98;R2:0.93;R3:0.92;R4:0.99;R5:0.96;R6:0.94;R7:0.98
CRUK0062	4	R1:1.01;R2:0.98;R3:0.91;R4:0.89;R5:0.99;R6:1.01;R7:0.87
CRUK0062	4	R1:0.99;R2:0.99;R3:0.92;R4:0.9;R5:1.1;R6:1.19;R7:0.84
CRUK0062	10	R1:1.05;R2:1.08;R3:0.16;R4:0.01;R5:0.21;R6:0.95;R7:1.01
CRUK0062	3	R1:0;R2:0;R3:0.92;R4:0;R5:0;R6:0;R7:0
CRUK0062	11	R1:0;R2:0.02;R3:0.94;R4:0.84;R5:0.94;R6:0;R7:0.01
CRUK0062	11	R1:0;R2:0;R3:0.9;R4:0.43;R5:0.96;R6:0;R7:0
CRUK0062	4	R1:0.98;R2:1.04;R3:0.91;R4:0.94;R5:0.93;R6:0.97;R7:1.1
CRUK0062	27	R1:0.32;R2:0.87;R3:0.91;R4:1;R5:0.99;R6:0;R7:0
CRUK0062	14	R1:0;R2:0.04;R3:0.87;R4:1.15;R5:0;R6:0.59;R7:0.4
CRUK0062	25	R1:0.68;R2:0.7;R3:0.91;R4:0.86;R5:0.96;R6:1.37;R7:0
CRUK0062	3	R1:0;R2:0.36;R3:0.92;R4:0.01;R5:0;R6:0.03;R7:0
CRUK0062	3	R1:0;R2:0;R3:0.9;R4:0;R5:0;R6:0;R7:0
CRUK0062	NA	NA
CRUK0062	4	R1:0.95;R2:0.92;R3:1.03;R4:0.92;R5:1.14;R6:0.98;R7:0.76
CRUK0062	3	R1:0;R2:0;R3:0.92;R4:0.06;R5:0;R6:0;R7:0
CRUK0062	3	R1:0;R2:0;R3:1.01;R4:0;R5:0;R6:0;R7:0
CRUK0062	11	R1:0;R2:0;R3:0.9;R4:0.92;R5:1.26;R6:0;R7:0
CRUK0062	11	R1:0.03;R2:0.03;R3:1.74;R4:0.79;R5:1;R6:0;R7:0.35
CRUK0062	22	R1:0.31;R2:0.04;R3:0.89;R4:0.85;R5:1.06;R6:0;R7:0.52
CRUK0062	11	R1:0;R2:0;R3:0.88;R4:1.03;R5:0.99;R6:0;R7:0
CRUK0062	28	R1:0.96;R2:1;R3:0.9;R4:1.04;R5:1.07;R6:0.99;R7:0.97
CRUK0062	24	R1:0.99;R2:1.1;R3:1.11;R4:0.02;R5:0.84;R6:1.03;R7:1.01
CRUK0062	14	R1:0;R2:0;R3:1.03;R4:1.38;R5:0;R6:0;R7:0
CRUK0062	11	R1:0;R2:0;R3:0.77;R4:1.12;R5:0.86;R6:0;R7:0.06
CRUK0062	4	R1:0.87;R2:0.87;R3:0.91;R4:0.91;R5:0.94;R6:0.97;R7:1.24
CRUK0062	14	R1:0.08;R2:0;R3:0.9;R4:0.91;R5:0;R6:0;R7:0
CRUK0062	8	R1:0;R2:0;R3:0.1;R4:1.04;R5:0;R6:0;R7:0
CRUK0062	11	R1:0;R2:0;R3:0.71;R4:1.94;R5:1.1;R6:0;R7:0
CRUK0062	4	R1:0.94;R2:1.02;R3:0.89;R4:0.96;R5:1.17;R6:0.85;R7:1.59
CRUK0062	4	R1:1.56;R2:1;R3:0.9;R4:0.86;R5:0.95;R6:0.95;R7:1.29
CRUK0062	4	R1:0.9;R2:1.15;R3:0.81;R4:0.93;R5:0.65;R6:0.85;R7:0.8
CRUK0062	3	R1:0;R2:0;R3:0.88;R4:0;R5:0;R6:0;R7:0
CRUK0062	8	R1:0;R2:0;R3:0;R4:1.08;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.77;R2:0.93;R3:0.88;R4:0.87;R5:0.95;R6:0.88;R7:0.99
CRUK0062	3	R1:0;R2:0;R3:0.87;R4:0;R5:0;R6:0;R7:0
CRUK0062	4	R1:0.99;R2:1.02;R3:0.94;R4:0.97;R5:0.92;R6:1.05;R7:0.96
CRUK0062	3	R1:0;R2:0;R3:1.06;R4:0;R5:0;R6:0;R7:0
CRUK0062	14	R1:0;R2:0;R3:1.35;R4:1.1;R5:0;R6:0;R7:0
